Результат расчета с распределением uniform
X:16.068 Y:17.112 Z:20.501  
X:22.308 Y:23.848 Z:24.441  
X:25.386 Y:25.630 Z:25.937  
X:28.305 Y:29.610 Z:31.190  
X:100.415 Y:-118.328 Z:-26.242  
X:-23.738 Y:-21.647 Z:-22.171  
X:-20.979 Y:-19.323 Z:-19.001  
X:-16.817 Y:-17.372 Z:-16.133  
X:-15.945 Y:-15.308 Z:-13.671  
X:-11.847 Y:-8.188 Z:-4.201  
X:-2.193 Y:0.000 Z:2.175  
X:3.995 Y:5.607 Z:7.856  
X:8.962 Y:10.756 Z:11.468  
X:13.386 Y:13.542 Z:15.416  
X:15.737 Y:16.621 Z:17.214  
X:19.183 Y:19.541 Z:19.802  
X:19.805 Y:76.136 Z:-60.940  
X:-60.731 Y:-11.374 Z:-10.696  
X:-10.670 Y:-9.987 Z:-8.808  
X:-9.546 Y:-9.491 Z:-9.466  
X:-9.255 Y:-8.987 Z:-9.792  
X:-5.952 Y:-4.424 Z:-3.236  
X:-2.198 Y:-1.036 Z:0.000  
X:1.091 Y:1.969 Z:3.095  
X:3.790 Y:4.546 Z:5.671  
X:6.321 Y:7.114 Z:8.109  
X:8.164 Y:9.354 Z:9.565  
X:9.594 Y:9.696 Z:10.449  
X:10.350 Y:50.106 Z:49.922  
X:-0.000 Y:-0.000 Z:-0.000  
X:-0.000 Y:-0.000 Z:-0.000  
X:-0.000 Y:-0.000 Z:-0.000  
X:-0.000 Y:-0.000 Z:-0.000  
X:-0.000 Y:-0.000 Z:-0.000  
X:-0.000 Y:-0.000 Z:-0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
